Corrosion Science;Corros. Sci.
Critical Reviews in Analytical Chemistry;Crit. Rev. Anal. Chem.
Critical Reviews in Solid State and Materials Sciences;Crit. Rev. Solid State Mater. Sci.
Croatica Chemica Acta;Croat. Chem. Acta
Cryogenics;Cryogenics
CrystEngComm;CrystEngComm
Crystal Growth & Design;Cryst. Growth Des.
Crystal Research and Technology;Cryst. Res. Technol.
Crystallography Reports;Crystallogr. Rep.
Crystals;Crystals
Cuihua Xuebao;Cuihua Xuebao
Current Alzheimer Research;Curr. Alzheimer Res.
Current Analytical Chemistry;Curr. Anal. Chem.
Current Bioactive Compounds;Curr. Bioact. Compd.
Current Bioinformatics;Curr. Bioinf.
Current Biology;Curr. Biol.
Current Cancer Drug Targets;Curr. Cancer Drug Targets
Current Catalysis;Curr. Catal.
Current Chemical Biology;Curr. Chem. Biol.
Current Computer-Aided Drug Design;Curr. Comput.-Aided Drug Des.
Current Drug Delivery;Curr. Drug Deliv.
Current Drug Discovery Technologies;Curr. Drug Discov. Technol.
Current Drug Metabolism;Curr. Drug Metab.
Current Drug Targets;Curr. Drug Targets
Current Enzyme Inhibition;Curr. Enzyme Inhib.
Current Gene Therapy;Curr. Gene Ther.
Current Genetics;Curr. Genet.
Current Genomics;Curr. Genomics
Current Green Chemistry;Curr. Green Chem.
Current HIV Research;Curr. HIV Res.
Current Immunology Reviews;Curr. Immunol. Rev.
Current Inorganic Chemistry;Curr. Inorg. Chem.
Current Medicinal Chemistry;Curr. Med. Chem.
Current Metabolomics;Curr. Metabolomics
Current Microbiology;Curr. Microbiol.
Current Microwave Chemistry;Curr. Microwave Chem.
Current Molecular Medicine;Curr. Mol. Med.
Current Molecular Pharmacology;Curr. Mol. Pharmacol.
Current Neuropharmacology;Curr. Neuropharmacol.
Current Opinion in Biotechnology;Curr. Opin. Biotechnol.
Current Opinion in Cell Biology;Curr. Opin. Cell Biol.
Current Opinion in Chemical Biology;Curr. Opin. Chem. Biol.
Current Opinion in Colloid & Interface Science;Curr. Opin. Colloid Interface Sci.
Current Opinion in Genetics & Development;Curr. Opin. Genet. Dev.
Current Opinion in Immunology;Curr. Opin. Immunol.
Current Opinion in Lipidology;Curr. Opin. Lipidol.
Current Opinion in Neurobiology;Curr. Opin. Neurobiol.
Current Opinion in Pharmacology;Curr. Opin. Pharmacol.
Current Opinion in Structural Biology;Curr. Opin. Struct. Biol.
Current Organic Chemistry;Curr. Org. Chem.
Current Organic Synthesis;Curr. Org. Synth.
Current Organocatalysis;Curr. Organocatal.
Current Pharmaceutical Analysis;Curr. Pharm. Anal.
Current Pharmaceutical Biotechnology;Curr. Pharm. Biotechnol.
Current Pharmaceutical Design;Curr. Pharm. Des.
Current Pharmacogenomics and Personalized Medicine;Curr. Pharmacogenomics Pers. Med.
Current Protein and Peptide Science;Curr. Protein Pept. Sci.
Current Proteomics;Curr. Proteomics
Current Radiopharmaceuticals;Curr. Radiopharm.
Current Signal Transduction Therapy;Curr. Signal Transduction Ther.
Current Stem Cell Research & Therapy;Curr. Stem Cell Res. Ther.
Current Topics in Medicinal Chemistry (Sharjah, United Arab Emirates);Curr. Top. Med. Chem. (Sharjah, United Arab Emirates)
Current Vascular Pharmacology;Curr. Vasc. Pharmacol.
Cytokine & Growth Factor Reviews;Cytokine Growth Factor Rev.
Cytokine+;Cytokine+
DNA Repair;DNA Repair
DNA Research;DNA Res.
DNA and Cell Biology;DNA Cell Biol.
Dalton Transactions;Dalton Trans.
Dermatologic Clinics;Dermatol. Clin.
Dermatologic Surgery;Dermatol. Surg.
Desalination;Desalination
Designed Monomers and Polymers;Des. Monomers Polym.
Development (Cambridge, United Kingdom);Development (Cambridge, U. K.)
Developmental Biology (Amsterdam, Netherlands);Dev. Biol. (Amsterdam, Neth.)
Developmental Cell;Dev. Cell
Developmental Neuroscience (Basel, Switzerland);Dev. Neurosci. (Basel, Switz.)
Diabetes;Diabetes
Diamond and Related Materials;Diamond Relat. Mater.
Dianhuaxue;Dianhuaxue
Differentiation (Oxford, United Kingdom);Differentiation (Oxford, U. K.)
Digestive diseases and sciences;Dig. Dis. Sci.
Diqiu Huaxue;Diqiu Huaxue
Doklady Biochemistry and Biophysics;Dokl. Biochem. Biophys.
Doklady Chemistry;Dokl. Chem.
Doklady Earth Sciences;Dokl. Earth Sci.
Doklady Physical Chemistry;Dokl. Phys. Chem.
