,abbrev,full,freq,most_freq
46,[sonderb],['sonderbande'],{'sonderbande': 1.0},sonderbande
47,[sov.,"['[soviet', '[soviet', '[soviet', '[soviet', '[soviet', '[soviet', '[soviet', '[soviet', '[soviet', '[soviet']",{'[soviet': 1.0},[soviet
48,a.,"['america', '-', 'part']","{'america': 0.3333333333333333, '-': 0.3333333333333333, 'part': 0.3333333333333333}",america
49,a5,['sar.'],{'sar.': 1.0},sar.
50,a],['general'],{'general': 1.0},general
51,aargau.,['aargauischen'],{'aargauischen': 1.0},aargauischen
52,aastaraam.,['aastaraamat.'],{'aastaraamat.': 1.0},aastaraamat.
53,abdom,"['abdominal', 'abdominal', 'abdominal']",{'abdominal': 1.0},abdominal
54,abdom.,['abdominal'],{'abdominal': 1.0},abdominal
55,abfallwirtsch.,['abfallwirtschaft'],{'abfallwirtschaft': 1.0},abfallwirtschaft
56,abh,['abhandlungen'],{'abhandlungen': 1.0},abhandlungen
57,abh.,"['abhandlungen', 'abhandlungen', 'abhandlungen', 'abhandlungen', 'abhandlungen', 'abhandlungen', 'abhandlungen', 'abhandlungen', 'abhandlungen', 'abhandlungen']",{'abhandlungen': 1.0},abhandlungen
58,abidjan,"[""d'abidjan.""]","{""d'abidjan."": 1.0}",d'abidjan.
59,abnorm,"['abnormal', 'abnormal', 'abnormal']",{'abnormal': 1.0},abnormal
60,abnorm.,"['abnormal', 'abnormal']",{'abnormal': 1.0},abnormal
61,abol,['abolition'],{'abolition': 1.0},abolition
62,aborig,['aboriginal'],{'aboriginal': 1.0},aboriginal
63,abr.,"[""d'abreviations""]","{""d'abreviations"": 1.0}",d'abreviations
64,abras.,['abrasive'],{'abrasive': 1.0},abrasive
65,abstr,"['abstracts', 'abstracts', 'abstracts', 'abstract', 'abstracts', 'abstracts', 'abstracts', 'abstracts', 'abstract', 'abstracts', 'abstracts']","{'abstracts': 0.8181818181818182, 'abstract': 0.18181818181818182}",abstracts
66,abstr.,"['abstract', 'abstracta', 'abstracts', 'abstracts', 'abstracts', 'abstract', 'abstracts', 'abstracts', 'abstract', 'abstracts', 'abstract', 'abstract', 'abstracts']","{'abstract': 0.38461538461538464, 'abstracta': 0.07692307692307693, 'abstracts': 0.5384615384615384}",abstracts
67,abt,"['unfallversicherungsanstalt.', 'abteilung', 'abteilung']","{'unfallversicherungsanstalt.': 0.3333333333333333, 'abteilung': 0.6666666666666666}",abteilung
68,abt.,"['abteilung', 'abteilung', 'abteilung', 'abteilung', 'abteilung', 'abteilung', 'abteilung', 'abteilung', 'abteilung', 'abteilung', 'abteilung', 'abteilung', 'abteilung', 'abteilung']",{'abteilung': 1.0},abteilung
69,abus,"['abuse', 'abuse']",{'abuse': 1.0},abuse
70,abuse.,['abuse'],{'abuse': 1.0},abuse
71,acad,"['academia', 'academic', 'academic', 'academic', 'academic', 'academiae', 'academiae', 'academiae', 'academiae', 'academiae', 'academiae', 'academiae', 'academiae', 'academiae', 'academy', 'real', 'academiae', 'academiae', 'academy', 'academy', 'academy', 'academia', 'academia', 'academia', ""l'academie"", ""l'academie"", ""l'academie"", ""l'academie"", 'academy', 'academy', 'academy', 'lacademie', ""l'academie"", 'akademii', 'academy', 'academy', 'academy', 'academy', 'academy', 'academy', 'academy', 'academic', 'academy', 'academy', 'academy', 'academy', 'academy', 'academy', 'academie', ""l'academie"", ""l'academie"", 'academie', 'academician', 'academy', 'academy', 'academy', 'academy', 'academy', 'academy', 'academy', 'academy', 'academy', 'tiedeakatemia', 'academic', 'academy', 'academy', 'academy', 'academy', 'academy', 'academy', 'academy', 'academy', 'academy', 'academy', 'academy', 'academy', 'academy', 'academy']","{'academia': 0.05128205128205128, 'academic': 0.07692307692307693, 'academiae': 0.14102564102564102, 'academy': 0.5512820512820513, 'real': 0.01282051282051282, ""l'academie"": 0.08974358974358974, 'lacademie': 0.01282051282051282, 'akademii': 0.01282051282051282, 'academie': 0.02564102564102564, 'academician': 0.01282051282051282, 'tiedeakatemia': 0.01282051282051282}",academy
72,acad.,"['academy', 'academy', 'academia', 'academy', 'academy', ""l'académie"", 'academy', 'academia', 'academia', 'academy', 'academiae', 'academy', 'academy', 'academy', 'academy', 'academia', 'academia', 'academy', 'academiae', 'academiae', 'academia', 'academy', ""l'academie"", ""l'academie"", ""l'académie"", ""l'académie"", 'academy', 'academy', 'academy', 'academy', 'academy', 'academy', 'academy', 'academiae', 'l’académie', ""l'académie"", 'l’académie', ""l'académie"", 'akademii', 'academy', 'akademii', 'academy', 'akademii', 'academy', 'academy', 'academy', 'academia', 'academic', 'academic', 'academic', 'academic', 'academy', 'academy', 'academy', 'academy', 'academiae', 'academiae', 'academiae', 'academiae', 'academiae', 'academiae', 'academiae', 'academiae', 'academiae', 'academiae', 'academy', 'academiae', 'academiae', 'academy', 'academy', 'academy', 'academy', 'academy', 'academy', ""l'academie"", ""l'academie"", ""l'academie"", ""l'academie"", ""l'academie"", 'academy', 'academy', 'academy', 'academy', 'hebdomadaires', 'd', 'academy', 'academy', 'academy', 'academy', 'academy', 'academy', 'academy', 'academy', 'academy', 'academy', 'academy', 'academic', 'academy', 'academy', 'academy', 'academy', 'academy', 'academy', 'academy', 'academy', 'academy', 'academy', 'academy', 'academy', 'academy', 'academy', 'academy', 'academy', 'academy', 'academy', 'academie', 'academie', 'academic', 'colombiana', 'scientiarum', 'academiae', 'academiae', 'academy', 'academy', 'academie', 'sciences.', 'academy', 'academy', ""l'academie"", 'academy', 'academy', 'academy', 'academia', 'academy', 'academy', 'academy', 'academie', 'academy', ""l'academie"", 'academy', 'academy', 'academy']","{'academy': 0.5774647887323944, 'academia': 0.056338028169014086, ""l'académie"": 0.035211267605633804, 'academiae': 0.1267605633802817, ""l'academie"": 0.06338028169014084, 'l’académie': 0.014084507042253521, 'akademii': 0.02112676056338028, 'academic': 0.04225352112676056, 'hebdomadaires': 0.007042253521126761, 'd': 0.007042253521126761, 'academie': 0.028169014084507043, 'colombiana': 0.007042253521126761, 'scientiarum': 0.007042253521126761, 'sciences.': 0.007042253521126761}",academy
73,académie,"[""l'académie""]","{""l'académie"": 1.0}",l'académie
74,acarol,['acarology'],{'acarology': 1.0},acarology
75,acarol.,['acarology'],{'acarology': 1.0},acarology
76,acc,"['accounts', 'account', 'accounts']","{'accounts': 0.6666666666666666, 'account': 0.3333333333333333}",accounts
77,acc.,"['accounts', 'accounts', 'account', 'accounts']","{'accounts': 0.75, 'account': 0.25}",accounts
78,accad,"['accademia', 'accademie', 'accademia', 'accademia', ""dell'accademia"", 'accademia', 'accademia', 'accademia', 'accademia']","{'accademia': 0.7777777777777778, 'accademie': 0.1111111111111111, ""dell'accademia"": 0.1111111111111111}",accademia
79,accad.,"['accademia', 'accademia', 'accademia']",{'accademia': 1.0},accademia
80,accel,['accelerator'],{'accelerator': 1.0},accelerator
81,accel.,"['accelerator', 'accelerators', 'accelerator', 'accelerator']","{'accelerator': 0.75, 'accelerators': 0.25}",accelerator
82,accid,"['accident', 'accident']",{'accident': 1.0},accident
83,accid.,"['accident', 'accident', 'accident']",{'accident': 1.0},accident
84,account,"['accountability', 'accounting', 'accountants']","{'accountability': 0.3333333333333333, 'accounting': 0.3333333333333333, 'accountants': 0.3333333333333333}",accountability
85,account.,"['accounting', 'accounting', 'accounting']",{'accounting': 1.0},accounting
86,accredit,['accreditation'],{'accreditation': 1.0},accreditation
87,accredit.,"['accreditation', 'accreditation', 'accreditation']",{'accreditation': 1.0},accreditation
88,achiev,['achievements'],{'achievements': 1.0},achievements
89,achiev.,['achievements'],{'achievements': 1.0},achievements
90,aciton,['action'],{'action': 1.0},action
91,acoust,"['acoustics', 'acoustical']","{'acoustics': 0.5, 'acoustical': 0.5}",acoustics
92,acoust.,"['acoustics', 'acoustics', 'acoustical', 'acoustics', 'acoustics', 'acoustics', 'acoustical', 'acoustical', 'acoustics', 'acoustics', 'accoustics', 'acoustics', 'acoustics', 'acoustics', 'acoustics']","{'acoustics': 0.7333333333333333, 'acoustical': 0.2, 'accoustics': 0.06666666666666667}",acoustics
93,acquir,"['acquired', 'acquired']",{'acquired': 1.0},acquired
94,acquir.,"['acquired', 'acquired']",{'acquired': 1.0},acquired
95,acquis,['acquisitions'],{'acquisitions': 1.0},acquisitions
96,acquis.,['acquisitions'],{'acquisitions': 1.0},acquisitions
97,act,"['acta', 'activity', 'activity', 'activity', 'activity', 'activities', 'activity']","{'acta': 0.14285714285714285, 'activity': 0.7142857142857143, 'activities': 0.14285714285714285}",activity
98,act.,"['active', 'activities']","{'active': 0.5, 'activities': 0.5}",active
99,acta,"['polish', 'akademie', 'acta.', 'acta.', 'acta.', 'acta.', 'acta.', 'xi']","{'polish': 0.125, 'akademie': 0.125, 'acta.': 0.625, 'xi': 0.125}",acta.
100,action,"[""l'action""]","{""l'action"": 1.0}",l'action
101,actions,['actions.'],{'actions.': 1.0},actions.
102,activ,['activity'],{'activity': 1.0},activity
103,actual,"['actualidad', 'actualidad', 'actualites', 'actualites', 'actualites', 'actualites', ""d'actualite"", ""l'actualite"", ""l'actualite"", 'actualidad']","{'actualidad': 0.3, 'actualites': 0.4, ""d'actualite"": 0.1, ""l'actualite"": 0.2}",actualites
104,actual.,"['actualite', 'actualites', 'actualidad', 'actualidad']","{'actualite': 0.25, 'actualites': 0.25, 'actualidad': 0.5}",actualidad
105,actuar,"['actuaries', 'actuarial']","{'actuaries': 0.5, 'actuarial': 0.5}",actuaries
106,actuar.,"['actuarial', 'actuarial', 'actuarial', 'actuarial', 'actuarial']",{'actuarial': 1.0},actuarial
107,actuators,['actuators.'],{'actuators.': 1.0},actuators.
108,actuel,['actuelle'],{'actuelle': 1.0},actuelle
109,acupunct,"['acupuncture', 'acupuncture', 'acupuncture']",{'acupuncture': 1.0},acupuncture
110,acupunct.,['acupuncture'],{'acupuncture': 1.0},acupuncture
111,adapt,"['adapted', 'adaptive']","{'adapted': 0.5, 'adaptive': 0.5}",adapted
112,adapt.,"['adaptive', 'adaptive', 'adaptive', 'adaptation', 'adaptive', 'adaptive', 'adaptation', 'adaptive']","{'adaptive': 0.75, 'adaptation': 0.25}",adaptive
113,add.,['additive'],{'additive': 1.0},additive
114,addict,"['addiction', 'addictive', 'addictive', 'addiction', 'addiction', 'addictive', 'addictions', 'addictive', 'addiction', 'addictions']","{'addiction': 0.4, 'addictive': 0.4, 'addictions': 0.2}",addiction
115,addict.,"['addiction', 'addictive', 'addictive', 'addictions', 'addiction', 'addiction', 'addiction', 'addictions', 'addictive', 'addictions']","{'addiction': 0.4, 'addictive': 0.3, 'addictions': 0.3}",addiction
116,addit,['additives'],{'additives': 1.0},additives
117,addit.,"['additives', 'additives', 'additive', 'additives', 'additive', 'additives', 'additives']","{'additives': 0.7142857142857143, 'additive': 0.2857142857142857}",additives
118,additamenta,['folia'],{'folia': 1.0},folia
119,adhes,"['adhesion', 'adhesion', 'adhesive']","{'adhesion': 0.6666666666666666, 'adhesive': 0.3333333333333333}",adhesion
120,adhes.,"['adhesion', 'adhesives', 'adhesion', 'adhesion', 'adhesives', 'adhesion', 'adhesion', 'adhesive']","{'adhesion': 0.625, 'adhesives': 0.25, 'adhesive': 0.125}",adhesion
121,adiyat,"[""'adiyat""]","{""'adiyat"": 1.0}",'adiyat
122,adl-nachr.,['adl-nachrichten'],{'adl-nachrichten': 1.0},adl-nachrichten
123,adm,"['administration', 'administration', 'administration', 'administration', 'administration', 'administrative', 'administrative', 'administrative', 'administrative', 'administrative', 'administrative', 'administrative', 'administration', 'administration', 'administrator', 'administration', 'administration', 'administration', 'administration', 'administration', 'administration', 'administration', 'administration', 'administrative', 'administration', 'administration', 'administration', 'administration', 'administration', 'administration', 'administration', 'administration', 'administrative', 'administracion', 'administracao', 'administration', 'administration', 'administration', 'administration', 'administration', 'administration', 'administration', 'administration', 'administrator', 'administration']","{'administration': 0.7111111111111111, 'administrative': 0.2, 'administrator': 0.044444444444444446, 'administracion': 0.022222222222222223, 'administracao': 0.022222222222222223}",administration
124,adm.,"['administration', 'administration', 'administration', 'administrative', 'administrative', 'administrative', 'administrative', 'administration', 'administration', 'administration', 'administrator', 'administration', 'administration', 'administration', 'administration', 'administration', 'administration', 'administration', 'administration', 'administration', 'administration', 'administration', 'administration', 'administration', 'administration', 'administration', 'administration', 'administration', 'administrator', 'administration', 'administration', 'administration', 'administration', 'administration', 'administration', 'administration', ""l'administration""]","{'administration': 0.8108108108108109, 'administrative': 0.10810810810810811, 'administrator': 0.05405405405405406, ""l'administration"": 0.02702702702702703}",administration
125,admin,"['administration', 'administration']",{'administration': 1.0},administration
126,admin.,['administration'],{'administration': 1.0},administration
127,admit,"['admitting', 'admitting']",{'admitting': 1.0},admitting
128,admit.,"['admitting', 'admitting']",{'admitting': 1.0},admitting
129,adolesc,"['adolescence', 'adolescent', 'adolescent', 'adolescent', 'adolescent', 'adolescent', 'adolescent', 'adolescent', 'adolescent', 'adolescent', 'adolescent', 'adolescence', 'adolescent', 'adolescence', 'adolescent', 'adolescent', 'adolescent', 'adolescent', 'adolescent', 'adolescent', 'adolescent', 'adolescence', 'adolescent', 'adolescence', ""l'adolescence"", 'adolescent', 'adolescent', 'adolescent', 'adolescent', 'adolescent', 'adolescence']","{'adolescence': 0.1935483870967742, 'adolescent': 0.7741935483870968, ""l'adolescence"": 0.03225806451612903}",adolescent
130,adolesc.,"['adolescent', 'adolescent', 'adolescent', 'adolescent', 'adolescent', 'adolescent', 'adolescent', 'adolescence', 'adolescent', 'adolescent', 'adolescent', 'adolescent', 'adolescent', 'adolescent', 'adolescent', 'adolescent', ""l'adolescence"", 'adolescent', 'adolescent']","{'adolescent': 0.8947368421052632, 'adolescence': 0.05263157894736842, ""l'adolescence"": 0.05263157894736842}",adolescent
131,adriat,['adriatica'],{'adriatica': 1.0},adriatica
132,adsorpt.,"['adsorption', 'adsorption']",{'adsorption': 1.0},adsorption
133,adv,"['advanced', 'advances', 'advance', 'advance', 'advanced', 'advanced', 'advanced', 'advancement', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advancing', 'advances', 'advances', 'advances', 'advances', 'advancement', 'advanced', 'advances', 'advances', 'advances.', 'advances.', 'advances', 'advances', 'advances', 'advances', 'advancement', 'advanced']","{'advanced': 0.041666666666666664, 'advances': 0.9027777777777778, 'advance': 0.013888888888888888, 'advancement': 0.020833333333333332, 'advancing': 0.006944444444444444, 'advances.': 0.013888888888888888}",advances
134,adv.,"['advanced', 'advanced', 'advanced', 'advanced', 'advanced', 'advanced', 'advanced', 'advances', 'advanced', 'advanced', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advanced', 'advanced', 'advanced', 'advanced', 'advances', 'advances', 'advances', 'advances', 'advanced', 'advances', 'advances', 'advanced', 'advances', 'advances', 'advances', 'advances', 'advances', 'advanced', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advanced', 'advanced', 'advanced', 'advanced', 'advanced', 'advanced', 'advanced', 'advanced', 'advanced', 'advanced', 'advances', 'advanced', 'advanced', 'advances', 'advanced', 'advances', 'advances', 'advanced', 'advanced', 'advances', 'advances', 'advanced', 'advances', 'advanced', 'advances', 'advanced', 'advanced', 'advanced', 'advanced', 'advanced', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advanced', 'advanced', 'advances', 'advanced', 'advanced', 'advances', 'advanced', 'advanced', 'advanced', 'advanced', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advance', 'advance', 'advanced', 'advancement', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advancing', 'advanced', 'advances', 'advances', 'advances', 'advanced', 'advances', 'advancement', 'advances', 'advances', 'advances', 'advances', 'advancement', 'advanced', 'advanced', 'advanced', 'advanced', 'advanced', 'advanced', 'advanced', 'advanced', 'advanced', 'advanced', 'advanced', 'advanced', 'advanced', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advanced', 'advances', 'advanced', 'advanced', 'advanced', 'advanced', 'advanced', 'advances', 'advances', 'advances', 'advanced', 'advanced', 'advances', 'advances', 'advanced', 'advanced', 'advances', 'advances', 'advanced', 'advanced', 'advanced', 'advanced', 'advanced', 'advanced', 'advanced', 'advanced', 'advanced', 'advanced', 'advanced', 'advanced', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances', 'advanced', 'advanced', 'advance', 'advanced', 'advanced', 'advanced', 'advanced', 'advanced', 'advancement']","{'advanced': 0.25348189415041783, 'advances': 0.724233983286908, 'advance': 0.008356545961002786, 'advancement': 0.011142061281337047, 'advancing': 0.002785515320334262}",advances
135,advent,['adventist'],{'adventist': 1.0},adventist
136,advert,"['advertising', 'advertising']",{'advertising': 1.0},advertising
137,advert.,['advertising'],{'advertising': 1.0},advertising
138,advis,"['advisor', 'advisor', 'advisor', 'advisor', 'advisor', 'advisory']","{'advisor': 0.8333333333333334, 'advisory': 0.16666666666666666}",advisor
139,advis.,"['advisor', 'advisor', 'advisory']","{'advisor': 0.6666666666666666, 'advisory': 0.3333333333333333}",advisor
140,aero.,['aerospace'],{'aerospace': 1.0},aerospace
141,aerodyn.,"['aerodynamics', 'aerodynamics']",{'aerodynamics': 1.0},aerodynamics
142,aeromech.,['aeromechanics'],{'aeromechanics': 1.0},aeromechanics
143,aeromed,"['aeromedica', 'aeromedical', 'aeromedical']","{'aeromedica': 0.3333333333333333, 'aeromedical': 0.6666666666666666}",aeromedical
144,aeromed.,['aeromedical'],{'aeromedical': 1.0},aeromedical
145,aeron,"['aeronautica', 'aeronautica']",{'aeronautica': 1.0},aeronautica
146,aeron.,"['aeronomiya', 'aeronomy', 'aeronomy']","{'aeronomiya': 0.3333333333333333, 'aeronomy': 0.6666666666666666}",aeronomy
147,aeronaut,"['aeronautique', 'aeronautique', 'aeronautique', 'aeronautica', 'aeronautica', 'aeronautica', 'aeronautics', 'aeronautical']","{'aeronautique': 0.375, 'aeronautica': 0.375, 'aeronautics': 0.125, 'aeronautical': 0.125}",aeronautique
148,aeronaut.,"['aeronautical', 'aeronautics', 'aeronautics', 'aeronautical', 'aeronautique', 'aeronautica', 'aeronautical', 'aeronautical']","{'aeronautical': 0.5, 'aeronautics': 0.25, 'aeronautique': 0.125, 'aeronautica': 0.125}",aeronautical
149,aerosp,"['aerospace', 'aerospace', 'aerospace', 'aerospace', 'aerospace', 'aerospace']",{'aerospace': 1.0},aerospace
150,aerosp.,"['aerospace', 'aerospace', 'aerospace', 'aerospace', 'aerospace', 'aerospace', 'aerospace', 'aerospace', 'aerospace', 'aerospace', 'aerospace', 'aerospace', 'aerospace', 'aerospace']",{'aerospace': 1.0},aerospace
151,aesthet,"['aesthetic', 'aesthetic', 'aesthetic']",{'aesthetic': 1.0},aesthetic
152,aesthet.,"['aesthetic', 'aesthetic', 'aesthetic']",{'aesthetic': 1.0},aesthetic
153,afd.,"['afdeling', 'afdeling']",{'afdeling': 1.0},afdeling
154,aff,"['affairs', 'affari', 'affairs', 'affairs', 'affairs', 'affairs', 'affairs', 'affairs', 'affairs', 'affairs', 'affairs', 'affairs', 'affairs', 'affairs', 'affairs', 'affairs', 'affairs', 'affairs', 'affairs', 'affairs', 'affairs', 'affairs', 'affairs', 'affairs', 'affairs', 'affaires', 'affairs', 'affairs', 'affairs', 'affairs', 'affairs', 'affairs', 'affairs', 'affairs', 'affairs', 'affairs', 'affairs']","{'affairs': 0.9459459459459459, 'affari': 0.02702702702702703, 'affaires': 0.02702702702702703}",affairs
155,aff.,"['affairs', 'affairs', 'affairs']",{'affairs': 1.0},affairs
156,affect,"['affective', 'affective', 'affective']",{'affective': 1.0},affective
157,affect.,"['affective', 'affective', 'affective']",{'affective': 1.0},affective
158,affin,['affini'],{'affini': 1.0},affini
159,afl,['afl-cio'],{'afl-cio': 1.0},afl-cio
160,afr,"['african', 'africa', 'africa', 'africa', 'africa', 'africa', 'africa', 'africa', 'africa', 'africa', 'africa', 'africa', 'africa', ""africa's"", 'african', 'african', 'african', 'african', 'african', 'african', 'african', 'african', 'african', 'african', 'african', 'african', 'african', 'african', 'african', 'african', 'african', 'african', 'african', 'african', 'africana', 'africana', 'afrika', 'afrique', 'afrique', 'afrique', 'afrique', 'african', 'afrika', ""d'afrique"", ""d'afrique"", 'africaine', 'africaines', 'africaines', 'african', 'africa', 'africa', 'africain', 'africaine', 'africa', 'africa', 'african', 'african', 'africa', 'africa', 'africa', 'africa', 'africain', 'africa', 'africaine', 'geneva-africa', 'africa', 'african', 'african', 'african', 'african', 'african', 'african', 'african', 'africa', 'african', 'african', 'african', 'african', 'african', 'africa', ""l'afrique"", ""l'afrique"", ""d'afrique"", 'africana', 'african', 'african', 'africa', 'african', 'africana', ""d'afrique"", 'african', 'african', 'african', 'african', 'african', 'african', 'african', 'africa', 'african', 'african', 'african', 'african', 'african', 'african', 'african', 'african', 'african', 'african', 'african', 'african', 'african', 'african', 'african', 'african', 'african']","{'african': 0.5565217391304348, 'africa': 0.22608695652173913, ""africa's"": 0.008695652173913044, 'africana': 0.034782608695652174, 'afrika': 0.017391304347826087, 'afrique': 0.034782608695652174, ""d'afrique"": 0.034782608695652174, 'africaine': 0.02608695652173913, 'africaines': 0.017391304347826087, 'africain': 0.017391304347826087, 'geneva-africa': 0.008695652173913044, ""l'afrique"": 0.017391304347826087}",african
161,afr.,"['african', 'africaine', 'african', 'african', 'african', 'african', 'african', 'african', 'african', ""d'afrique"", 'africa', 'africa', 'africa', 'african', 'african', 'african', 'africa', 'african', 'african', 'african', 'african', 'african', 'african', 'african', 'african', 'african', 'african', 'african', 'african', 'africaine', 'african', 'afrika', 'afrika', 'african', 'african', 'african', 'african', 'african', 'african', 'african', 'african', 'africa', 'african', 'african', 'african', 'african', 'african', 'african', 'african', 'african']","{'african': 0.8, 'africaine': 0.04, ""d'afrique"": 0.02, 'africa': 0.1, 'afrika': 0.04}",african
162,afro,['afro-americans'],{'afro-americans': 1.0},afro-americans
163,agent,['agents'],{'agents': 1.0},agents
