,abbrev,full,freq,most_freq
15,A,"['a', 'Sciences', 'and', 'Science', 'A:', 'America', 'Society', 'di', 'Sinica', 'A.', 'A.', 'e.a', 'Part', 'Part', 'Part', 'Part', 'Ausg.', 'Part', 'Part', 'Part', 'Part', 'Series', 'A:', 'America.', 'Series', 'Part', 'Series', 'A:', 'Part', 'A.', 'Part', 'Series', 'A:', 'Physik.', 'Series', 'Part', 'Series', 'Section', 'i', 'Society', 'Section', 'London', 'Section', 'Series', 'A:', 'Part', 'Part', 'Part', 'Part', 'Part', 'Series', 'Part', 'America', 'Ausgabe', 'A.', 'A.', 'A.', 'A.', 'A.', 'A:', 'A:', 'A:', 'A.', 'A:', 'Part', 'Section', '-']","{'a': 0.014925373134328358, 'Sciences': 0.014925373134328358, 'and': 0.014925373134328358, 'Science': 0.014925373134328358, 'A:': 0.13432835820895522, 'America': 0.029850746268656716, 'Society': 0.029850746268656716, 'di': 0.014925373134328358, 'Sinica': 0.014925373134328358, 'A.': 0.13432835820895522, 'e.a': 0.014925373134328358, 'Part': 0.2835820895522388, 'Ausg.': 0.014925373134328358, 'Series': 0.11940298507462686, 'America.': 0.014925373134328358, 'Physik.': 0.014925373134328358, 'Section': 0.05970149253731343, 'i': 0.014925373134328358, 'London': 0.014925373134328358, 'Ausgabe': 0.014925373134328358, '-': 0.014925373134328358}",Part
16,A.,"['Series', '-', 'Part', 'Part', 'Part', 'Part', 'Series', 'Part', 'A']","{'Series': 0.2222222222222222, '-': 0.1111111111111111, 'Part': 0.5555555555555556, 'A': 0.1111111111111111}",Part
17,A5,['Sar.'],{'Sar.': 1.0},Sar.
18,A:,['Abteilung'],{'Abteilung': 1.0},Abteilung
19,AACN,['Aacn'],{'Aacn': 1.0},Aacn
20,ABE,['Statistics---ABE'],{'Statistics---ABE': 1.0},Statistics---ABE
21,ACM,"['Association', 'Transactions']","{'Association': 0.5, 'Transactions': 0.5}",Association
22,ADL-Nachr.,['ADL-Nachrichten'],{'ADL-Nachrichten': 1.0},ADL-Nachrichten
23,AFL,['AFL-CIO'],{'AFL-CIO': 1.0},AFL-CIO
24,AID,['A.I.D.'],{'A.I.D.': 1.0},A.I.D.
25,AIDS,['Aids'],{'Aids': 1.0},Aids
26,AJNR,"['AJNR.', 'AJNR:']","{'AJNR.': 0.5, 'AJNR:': 0.5}",AJNR.
27,AJR,"['AJR.', 'AJR:']","{'AJR.': 0.5, 'AJR:': 0.5}",AJR.
28,ALEA,['ALEA.'],{'ALEA.': 1.0},ALEA.
29,AMA,"['A.M.A.', 'A.M.A.', 'A.M.A.', 'A.M.A.', 'A.M.A.', 'A.M.A.', 'A.M.A.']",{'A.M.A.': 1.0},A.M.A.
30,AMB,['AMB:'],{'AMB:': 1.0},AMB:
31,AMIA.,['AMIA'],{'AMIA': 1.0},AMIA
32,AN,"['AN.', 'AN:']","{'AN.': 0.5, 'AN:': 0.5}",AN.
33,ANS,"['ANS.', 'ANS:']","{'ANS.': 0.5, 'ANS:': 0.5}",ANS.
34,APMIS,['APMIS.'],{'APMIS.': 1.0},APMIS.
35,ASHA,['ASHA.'],{'ASHA.': 1.0},ASHA.
36,ASME,"['Society', 'Mechanics']","{'Society': 0.5, 'Mechanics': 0.5}",Society
37,AST,['AratirmaSonuçlariToplantisi'],{'AratirmaSonuçlariToplantisi': 1.0},AratirmaSonuçlariToplantisi
38,AWHONNS,"[""AWHONN's"", ""AWHONN's""]","{""AWHONN's"": 1.0}",AWHONN's
39,Aargau.,['Aargauischen'],{'Aargauischen': 1.0},Aargauischen
40,Aastaraam.,['Aastaraamat.'],{'Aastaraamat.': 1.0},Aastaraamat.
41,Abdom,"['Abdominal', 'Abdominal', 'abdominal']","{'Abdominal': 0.6666666666666666, 'abdominal': 0.3333333333333333}",Abdominal
42,Abdom.,['Abdominal'],{'Abdominal': 1.0},Abdominal
43,Abfallwirtsch.,['Abfallwirtschaft'],{'Abfallwirtschaft': 1.0},Abfallwirtschaft
44,Abh,['Abhandlungen'],{'Abhandlungen': 1.0},Abhandlungen
45,Abh.,"['Abhandlungen', 'Abhandlungen', 'Abhandlungen', 'Abhandlungen', 'Abhandlungen', 'Abhandlungen', 'Abhandlungen', 'Abhandlungen', 'Abhandlungen', 'Abhandlungen']",{'Abhandlungen': 1.0},Abhandlungen
46,Abnorm,"['abnormal', 'abnormal', 'abnormal']",{'abnormal': 1.0},abnormal
47,Abnorm.,"['Abnormal', 'Abnormal']",{'Abnormal': 1.0},Abnormal
48,Abol,['abolition'],{'abolition': 1.0},abolition
49,Aborig,['Aboriginal'],{'Aboriginal': 1.0},Aboriginal
50,Abr.,"[""d'Abreviations""]","{""d'Abreviations"": 1.0}",d'Abreviations
51,Abras.,['Abrasive'],{'Abrasive': 1.0},Abrasive
52,Abroad,['abroad'],{'abroad': 1.0},abroad
53,Abstr,"['abstracts', 'abstracts', 'abstracts', 'Abstract', 'abstracts', 'abstracts', 'abstracts', 'abstracts', 'abstracts', 'abstracts', 'abstracts', 'of']","{'abstracts': 0.8333333333333334, 'Abstract': 0.08333333333333333, 'of': 0.08333333333333333}",abstracts
54,Abstr.,"['Abstract', 'Abstracta', 'Abstracts', 'Abstracts', 'Abstracts', 'Abstract', 'Abstracts', 'Abstracts', 'Abstract', 'Abstracts', 'Abstract', 'Abstract']","{'Abstract': 0.4166666666666667, 'Abstracta': 0.08333333333333333, 'Abstracts': 0.5}",Abstracts
55,Abt,"['Unfallversicherungsanstalt.', 'Abteilung', 'Abteilung']","{'Unfallversicherungsanstalt.': 0.3333333333333333, 'Abteilung': 0.6666666666666666}",Abteilung
56,Abt.,"['Abteilung', 'Abteilung', 'Abteilung', 'Chemie']","{'Abteilung': 0.75, 'Chemie': 0.25}",Abteilung
57,Abus,['abuse'],{'abuse': 1.0},abuse
58,Abuse,"['abuse', 'abuse', 'abuse', 'abuse', 'abuse', 'abuse', 'abuse', 'abuse', 'abuse', 'abuse']",{'abuse': 1.0},abuse
59,Abuse.,['Abuse'],{'Abuse': 1.0},Abuse
60,Acad,"['Academia', 'Academic', 'Academiae', 'Academiae', 'Academiae', 'Academiae', 'Academiae', 'Academiae', 'Academiae', 'Academiae', 'Academiae', 'Academy', 'Academia', 'Real', 'Academiae', 'Academiae', 'Academia', 'Academia', 'Academia', 'de', ""l'Academie"", ""l'Academie"", ""l'Academie"", ""l'Academie"", 'lAcademie', ""l'Academie"", 'akademii', 'Academy', ""l'Academie"", ""l'Academie"", 'Academie', 'academician', 'Academy', 'Academy', 'Academy', 'academy', 'Academy', 'Academy', 'Academy', 'academy']","{'Academia': 0.125, 'Academic': 0.025, 'Academiae': 0.275, 'Academy': 0.2, 'Real': 0.025, 'de': 0.025, ""l'Academie"": 0.175, 'lAcademie': 0.025, 'akademii': 0.025, 'Academie': 0.025, 'academician': 0.025, 'academy': 0.05}",Academiae
61,Acad.,"['Académie', 'Academia', 'Academy', ""l'Académie"", 'of', 'Academy', 'Academiae', 'Estonian', 'Academiae', 'Academiae', 'Academia', ""l'Academie"", ""l'Académie"", 'Academy', 'Academy', 'Academiae', 'l’Académie', ""l'Académie"", 'Akademii', 'Academy', 'Academia', 'Academic', 'Academic', 'Academic', 'Academic', 'Academy', 'Academy', 'Academiae', 'Academiae', 'Academiae', 'Academiae', 'Academiae', 'Academiae', 'Academiae', 'Academiae', 'Academiae', 'Academiae', 'Academy', 'Academia', 'Real', 'Academiae', 'Academiae', 'de', ""l'Academie"", ""l'Academie"", ""l'Academie"", ""l'Academie"", ""l'Academie"", 'Hebdomadaires', 'D', 'Academy', 'Academy', 'Academy', 'Academy', 'Academy', 'Academy', 'Academy', 'Academy', 'Academy', 'Academy', 'Academy', 'Academie', 'Academie', 'Academic', 'Colombiana', 'Scientiarum', 'Academiae', 'Academiae', 'Academie', 'Sciences.', 'Proceedings.', 'Academy', 'Academy', ""L'Academie"", 'Academy', 'Academy', 'Academy', 'Academy', ""l'Academie"", ""l'"", ""l'""]","{'Académie': 0.012345679012345678, 'Academia': 0.04938271604938271, 'Academy': 0.30864197530864196, ""l'Académie"": 0.037037037037037035, 'of': 0.012345679012345678, 'Academiae': 0.2222222222222222, 'Estonian': 0.012345679012345678, ""l'Academie"": 0.08641975308641975, 'l’Académie': 0.012345679012345678, 'Akademii': 0.012345679012345678, 'Academic': 0.06172839506172839, 'Real': 0.012345679012345678, 'de': 0.012345679012345678, 'Hebdomadaires': 0.012345679012345678, 'D': 0.012345679012345678, 'Academie': 0.037037037037037035, 'Colombiana': 0.012345679012345678, 'Scientiarum': 0.012345679012345678, 'Sciences.': 0.012345679012345678, 'Proceedings.': 0.012345679012345678, ""L'Academie"": 0.012345679012345678, ""l'"": 0.024691358024691357}",Academy
62,Académie,"[""l'Académie""]","{""l'Académie"": 1.0}",l'Académie
63,Acarol,['acarology'],{'acarology': 1.0},acarology
64,Acarol.,['Acarology'],{'Acarology': 1.0},Acarology
65,Acc,"['Accounts', 'account', 'accounts']","{'Accounts': 0.3333333333333333, 'account': 0.3333333333333333, 'accounts': 0.3333333333333333}",Accounts
66,Acc.,"['Accounts', 'Accounts', 'Account', 'Accounts']","{'Accounts': 0.75, 'Account': 0.25}",Accounts
67,Accad,"['Accademia', 'Accademie', 'Accademia', 'Accademia', ""dell'Accademia"", 'Accademia', 'Accademia', 'Accademia', 'Accademia']","{'Accademia': 0.7777777777777778, 'Accademie': 0.1111111111111111, ""dell'Accademia"": 0.1111111111111111}",Accademia
68,Accad.,"['Ligure', 'della', 'Accademia', 'Accademia', 'Accademia']","{'Ligure': 0.2, 'della': 0.2, 'Accademia': 0.6}",Accademia
69,Accel,['Accelerator'],{'Accelerator': 1.0},Accelerator
70,Accel.,"['Accelerator', 'Accelerators', 'Accelerator', 'Accelerator']","{'Accelerator': 0.75, 'Accelerators': 0.25}",Accelerator
71,Accent,['accent'],{'accent': 1.0},accent
72,Access,"['access', 'access', 'access']",{'access': 1.0},access
73,Accid,"['Accident', 'accident']","{'Accident': 0.5, 'accident': 0.5}",Accident
74,Accid.,"['Accident', 'Accident', 'Accident']",{'Accident': 1.0},Accident
75,Account,"['Accountability', 'accounting']","{'Accountability': 0.5, 'accounting': 0.5}",Accountability
76,Account.,"['Accounting', 'Accounting', 'Accounting']",{'Accounting': 1.0},Accounting
77,Accredit,['accreditation'],{'accreditation': 1.0},accreditation
78,Accredit.,"['Accreditation', 'Accreditation', 'Accreditation']",{'Accreditation': 1.0},Accreditation
79,Achiev,['achievements'],{'achievements': 1.0},achievements
80,Achiev.,['Achievements'],{'Achievements': 1.0},Achievements
81,Acid,"['acid', 'acid']",{'acid': 1.0},acid
82,Acids,"['acids', 'acids', 'acids', 'acids', 'acids', 'acids', 'acids']",{'acids': 1.0},acids
83,Aciton,['action'],{'action': 1.0},action
84,Acog,['ACOG'],{'ACOG': 1.0},ACOG
85,Acoust.,"['Acoustics', 'Acoustics', 'Acoustics', 'Acoustics', 'Acoustics', 'Acoustical', 'Acoustical', 'Acoustics', 'Acoustics', 'Accoustics', 'Acoustics', 'Acoustics', 'Acoustics', 'Acoustics']","{'Acoustics': 0.7857142857142857, 'Acoustical': 0.14285714285714285, 'Accoustics': 0.07142857142857142}",Acoustics
86,Acquir,['acquired'],{'acquired': 1.0},acquired
87,Acquir.,"['Acquired', 'Acquired']",{'Acquired': 1.0},Acquired
88,Acquis,['Acquisitions'],{'Acquisitions': 1.0},Acquisitions
89,Acquis.,['Acquisitions'],{'Acquisitions': 1.0},Acquisitions
90,Act,"['Acta', 'activity', 'activity', 'activity', 'activity', 'activities', 'activity']","{'Acta': 0.14285714285714285, 'activity': 0.7142857142857143, 'activities': 0.14285714285714285}",activity
91,Act.,['Active'],{'Active': 1.0},Active
92,Acta,"['Polish', 'Akademie', 'acta', 'acta', 'acta', 'acta', 'acta', 'acta', 'acta', 'acta', 'acta.', 'acta', 'acta.', 'acta', 'acta', 'acta.', 'acta', 'pharmacologica', 'acta', 'acta', 'acta', 'acta', 'acta.', 'acta', 'acta', 'acta', 'acta', 'acta.', 'acta', 'Xi', 'acta']","{'Polish': 0.03225806451612903, 'Akademie': 0.03225806451612903, 'acta': 0.7096774193548387, 'acta.': 0.16129032258064516, 'pharmacologica': 0.03225806451612903, 'Xi': 0.03225806451612903}",acta
93,Action,"['action', 'action', ""L'Action"", 'action', 'action', 'action', 'action']","{'action': 0.8571428571428571, ""L'Action"": 0.14285714285714285}",action
94,Actions,"['actions', 'actions.', 'alcohol']","{'actions': 0.3333333333333333, 'actions.': 0.3333333333333333, 'alcohol': 0.3333333333333333}",actions
95,Actions.,['Alcohol'],{'Alcohol': 1.0},Alcohol
96,Actual,"['Actualidad', 'Actualidad', 'Actualites', 'Actualites', 'Actualites', 'Actualites', 'Actualites', 'Actualites', 'actual', ""L'Actualite"", ""L'Actualite""]","{'Actualidad': 0.18181818181818182, 'Actualites': 0.5454545454545454, 'actual': 0.09090909090909091, ""L'Actualite"": 0.18181818181818182}",Actualites
97,Actual.,"['Actualite', 'Actualites', 'Actualites', 'Actualites', 'Actualidad', 'Actualidad']","{'Actualite': 0.16666666666666666, 'Actualites': 0.5, 'Actualidad': 0.3333333333333333}",Actualites
98,Actuar,['actuarial'],{'actuarial': 1.0},actuarial
99,Actuar.,"['Actuarial', 'Actuarial', 'Actuarial', 'Actuarial', 'Actuarial']",{'Actuarial': 1.0},Actuarial
100,Actuators,['actuators.'],{'actuators.': 1.0},actuators.
101,Actuel,['Actuelle'],{'Actuelle': 1.0},Actuelle
102,Actuels,['actuels'],{'actuels': 1.0},actuels
103,Acupunct,"['Acupuncture', 'acupuncture']","{'Acupuncture': 0.5, 'acupuncture': 0.5}",Acupuncture
104,Acupunct.,['Acupuncture'],{'Acupuncture': 1.0},Acupuncture
105,Acute,['acute'],{'acute': 1.0},acute
106,Adapt,['Adaptive'],{'Adaptive': 1.0},Adaptive
107,Adapt.,"['Adaptive', 'Adaptive', 'Adaptive', 'Adaptation', 'Adaptive', 'Adaptive', 'Adaptation', 'Adaptive']","{'Adaptive': 0.75, 'Adaptation': 0.25}",Adaptive
108,Add.,['Additive'],{'Additive': 1.0},Additive
109,Addict,"['Addiction', 'Addictive', 'Addictive', 'addiction', 'addiction', 'addiction']","{'Addiction': 0.16666666666666666, 'Addictive': 0.3333333333333333, 'addiction': 0.5}",addiction
110,Addict.,"['Addiction', 'Addictive', 'Addictive', 'Addictions', 'Addiction', 'Addiction', 'Addiction', 'Addictive', 'Addictions']","{'Addiction': 0.4444444444444444, 'Addictive': 0.3333333333333333, 'Addictions': 0.2222222222222222}",Addiction
111,Addit,['additives'],{'additives': 1.0},additives
112,Addit.,"['Additives', 'Additive', 'Additives', 'Additive', 'Additives', 'Additives']","{'Additives': 0.6666666666666666, 'Additive': 0.3333333333333333}",Additives
113,Additamenta,['Folia'],{'Folia': 1.0},Folia
114,Addressing,['addressing'],{'addressing': 1.0},addressing
115,Adelphe,['adelphe'],{'adelphe': 1.0},adelphe
116,Adhes,"['adhesion', 'adhesion', 'adhesive']","{'adhesion': 0.6666666666666666, 'adhesive': 0.3333333333333333}",adhesion
117,Adhes.,"['Adhesion', 'Adhesives', 'Adhesion', 'Adhesion', 'Adhesives', 'Adhesion', 'Adhesion', 'Adhesive']","{'Adhesion': 0.625, 'Adhesives': 0.25, 'Adhesive': 0.125}",Adhesion
118,Adiyat,"[""'Adiyat""]","{""'Adiyat"": 1.0}",'Adiyat
119,Adm,"['Administration', 'Administration', 'Administration', 'Administration', 'Administration', 'Administrative', 'Administrative', 'Administrative', 'Administrative', 'Administrative', 'administration', 'administration', 'administrator', 'administrator', 'administration', 'administration', 'administration', 'administration', 'administration', 'administration', 'administration', 'administration', 'administration', 'Administration', 'administration', 'administration', 'administration', 'administracion', 'administracao', 'administration', 'economic', 'Administration', 'administration', 'administration', 'administration', 'administration', 'administration', 'administrator', 'administration']","{'Administration': 0.1794871794871795, 'Administrative': 0.1282051282051282, 'administration': 0.5384615384615384, 'administrator': 0.07692307692307693, 'administracion': 0.02564102564102564, 'administracao': 0.02564102564102564, 'economic': 0.02564102564102564}",administration
120,Adm.,"['Administration', 'Administration', 'Administration', 'Administrative', 'Administrative', 'Administrative', 'Administrative', 'Administration', 'Administration', 'Administration', 'Administrator', 'Administrator', 'Administration', 'Administration', 'Administration', 'Administration', 'Administration', 'Administration', 'Administration', 'Administration', 'Administration', 'Administration', 'Administration', 'Administration', 'Administration', 'Administration', 'Administration', 'Administration', 'Administration', 'Administrator', 'Administration', 'Administration', 'Administration', 'Administration', 'Administration', 'Administration', ""l'Administration""]","{'Administration': 0.7837837837837838, 'Administrative': 0.10810810810810811, 'Administrator': 0.08108108108108109, ""l'Administration"": 0.02702702702702703}",Administration
121,Admin,"['administration', 'Administration']","{'administration': 0.5, 'Administration': 0.5}",administration
122,Admin.,['Administration'],{'Administration': 1.0},Administration
123,Admit,['Admitting'],{'Admitting': 1.0},Admitting
124,Admit.,"['Admitting', 'Admitting']",{'Admitting': 1.0},Admitting
125,Admitting,['admitting'],{'admitting': 1.0},admitting
126,Adolesc,"['Adolescence', 'Adolescent', 'Adolescent', 'Adolescent', 'adolescent', 'adolescent', 'adolescent', 'adolescent', 'adolescent', 'adolescent', 'adolescence', 'adolescent', 'adolescence', 'adolescent', 'adolescent', 'adolescent', 'adolescent', 'adolescence', 'adolescent', 'adolescent', 'adolescent', 'adolescence']","{'Adolescence': 0.045454545454545456, 'Adolescent': 0.13636363636363635, 'adolescent': 0.6363636363636364, 'adolescence': 0.18181818181818182}",adolescent
127,Adolesc.,"['Adolescent', 'Adolescent', 'Adolescent', 'Adolescent', 'Adolescent', 'Adolescent', 'Adolescent', 'Adolescence', 'Adolescent', 'Adolescent', 'Adolescent', 'Adolescent', 'Adolescent', 'Adolescent', 'Adolescent', 'Adolescent', 'Adolescent']","{'Adolescent': 0.9411764705882353, 'Adolescence': 0.058823529411764705}",Adolescent
128,Adriat,['Adriatica'],{'Adriatica': 1.0},Adriatica
129,Adsorpt.,"['Adsorption', 'Adsorption']",{'Adsorption': 1.0},Adsorption
130,Adult,['adult'],{'adult': 1.0},adult
131,Adv,"['advanced', 'Advances', 'Advance', 'Advance', 'Advanced', 'Advanced', 'Advancement', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'advances', 'advances', 'advances', 'of', 'advanced', 'advanced', 'advances', 'advances', 'advances', 'advances', 'advances', 'advances']","{'advanced': 0.022727272727272728, 'Advances': 0.8636363636363636, 'Advance': 0.015151515151515152, 'Advanced': 0.015151515151515152, 'Advancement': 0.007575757575757576, 'advances': 0.06818181818181818, 'of': 0.007575757575757576}",Advances
132,Adv.,"['Advances', 'Advanced', 'Advanced', 'Advanced', 'Advanced', 'Advanced', 'Advanced', 'Advanced', 'Advances', 'Advanced', 'Advanced', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advanced', 'Advanced', 'Advanced', 'Advances', 'Advances', 'Advances', 'Advances', 'Advanced', 'Advances', 'Advances', 'Advanced', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advanced', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advanced', 'Advanced', 'Advanced', 'Advanced', 'Advanced', 'Advanced', 'Advanced', 'Advanced', 'Advanced', 'Advances', 'Advanced', 'Advanced', 'Advances', 'Advanced', 'Advances', 'Advances', 'Advanced', 'Advanced', 'Advanced', 'Advanced', 'Advanced', 'Advanced', 'Advances', 'Advances', 'Advances', 'Advances', 'Advanced', 'Advances', 'Advances', 'Advanced', 'Advanced', 'Advanced', 'Advanced', 'Advanced', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advanced', 'Advanced', 'Advances', 'Advanced', 'Advanced', 'Advances', 'Advanced', 'Advanced', 'Advanced', 'Advanced', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advanced', 'Advances', 'Advanced', 'Advances', 'Advances', 'Advances', 'Advance', 'Advance', 'Advanced', 'Advancement', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advancing', 'Advanced', 'Advances', 'Advances', 'Advances', 'of', 'Advanced', 'Advanced', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advanced', 'Advanced', 'Advanced', 'Advanced', 'Advanced', 'Advanced', 'Advanced', 'Advanced', 'Advanced', 'Advanced', 'Advanced', 'Advanced', 'Advanced', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advanced', 'Advanced', 'Advances', 'Advanced', 'Advanced', 'Advanced', 'Advanced', 'Advanced', 'Advances', 'Advances', 'Advances', 'Advanced', 'Advanced', 'Advances', 'Advances', 'Advanced', 'Advanced', 'Advanced', 'Advances', 'Advances', 'Advanced', 'Advanced', 'Advanced', 'Advanced', 'Advanced', 'Advanced', 'Advanced', 'Advanced', 'Advanced', 'Advanced', 'Advanced', 'Advanced', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advances', 'Advanced', 'Advanced', 'Advance', 'Advanced', 'Advanced', 'Advanced', 'Advanced', 'Advanced']","{'Advances': 0.7185792349726776, 'Advanced': 0.2650273224043716, 'Advance': 0.00819672131147541, 'Advancement': 0.00273224043715847, 'Advancing': 0.00273224043715847, 'of': 0.00273224043715847}",Advances
133,Advent,"['Adventist', 'Adventist']",{'Adventist': 1.0},Adventist
134,Advent.,['Adventist'],{'Adventist': 1.0},Adventist
135,Adverse,['adverse'],{'adverse': 1.0},adverse
136,Advert,"['Advertising', 'advertising']","{'Advertising': 0.5, 'advertising': 0.5}",Advertising
137,Advert.,['Advertising'],{'Advertising': 1.0},Advertising
138,Advis,"['advisor', 'advisor', 'advisor', 'advisor', 'advisor', 'advisory']","{'advisor': 0.8333333333333334, 'advisory': 0.16666666666666666}",advisor
139,Advis.,"['Advisor', 'Advisor', 'Advisory']","{'Advisor': 0.6666666666666666, 'Advisory': 0.3333333333333333}",Advisor
140,Advocacy,['advocacy'],{'advocacy': 1.0},advocacy
141,Advocate,"['advocate', 'advocate']",{'advocate': 1.0},advocate
142,Aero.,['Aerospace'],{'Aerospace': 1.0},Aerospace
143,Aerodyn.,"['Aerodynamics', 'Aerodynamics']",{'Aerodynamics': 1.0},Aerodynamics
144,Aeromech.,['Aeromechanics'],{'Aeromechanics': 1.0},Aeromechanics
145,Aeromed,"['Aeromedica', 'Aeromedical', 'Aeromedical']","{'Aeromedica': 0.3333333333333333, 'Aeromedical': 0.6666666666666666}",Aeromedical
146,Aeromed.,['Aeromedical'],{'Aeromedical': 1.0},Aeromedical
147,Aeron,"['aeronautica', 'aeronautica']",{'aeronautica': 1.0},aeronautica
148,Aeron.,"['Aeronomiya', 'Aeronomy', 'Aeronomy']","{'Aeronomiya': 0.3333333333333333, 'Aeronomy': 0.6666666666666666}",Aeronomy
